event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Unnamed: 8,Unnamed: 9,Unnamed: 10,city,total_quantity_sold,product_name,promo_discount,revenue_before_promo,revenue_after_promo,category,ir%,inc_units,isu_percent,inc_revenue,ir_percent_calc,rev_per_discount_unit,rev_per_discount_amount,isu%,promo_category,incremental_revenue,margin_efficiency,incremental_margin%,before_rev,before_qty,after_qty,ir_row
dd6685,STMYS-2,CAMP_DIW_01,P06,415,25% OFF,78,70,,,,mysuru,148,Atliq_Fusion_Container_Set_of_3,103.75,32370,21787.5,Home Care,-32.69230769230769,-8.0,-18.06615776081425,-10582.5,-38.54961832061068,-102.0,-24.57831325301205,-10.256410256410255,Other,-10582.5,-48.57142857142857,-32.69230769230769,32370.0,78.0,70.0,-32.69230769230769
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,,,,hyderabad,428,Atliq_Home_Essential_8_Product_Combo,2500.0,378000,151000.0,Combo1,-60.05291005291006,176.0,-18.06615776081425,-227000.0,-38.54961832061068,-90.8,-3.026666666666667,139.68253968253967,Other,-227000.0,-150.33112582781456,-60.05291005291006,378000.0,126.0,302.0,-60.05291005291006
5c3c33,STCHE-6,CAMP_DIW_01,P12,62,50% OFF,154,207,,,,chennai,361,Atliq_Lime_Cool_Bathing_Bar (125GM),31.0,9548,6417.0,Personal Care,-32.7922077922078,53.0,-18.06615776081425,-3131.0,-38.54961832061068,-101.0,-162.90322580645162,34.41558441558442,Other,-3131.0,-48.792270531400966,-32.7922077922078,9548.0,154.0,207.0,-32.7922077922078
d290a1,STBLR-3,CAMP_DIW_01,P04,290,25% OFF,343,270,,,,bengaluru,613,Atliq_Farm_Chakki_Atta (1KG),72.5,99470,58725.0,Grocery & Staples,-40.96209912536443,-73.0,-18.06615776081425,-40745.0,-38.54961832061068,-562.0,-193.79310344827587,-21.282798833819243,Other,-40745.0,-69.38271604938272,-40.96209912536443,99470.0,343.0,270.0,-40.96209912536443
635862,STVSK-4,CAMP_SAN_01,P02,860,33% OFF,348,480,,,,visakhapatnam,828,Atliq_Sonamasuri_Rice (10KG),283.8,299280,276576.0,Grocery & Staples,-7.586206896551724,132.0,-18.06615776081425,-22704.0,-38.54961832061068,-80.0,-9.30232558139535,37.93103448275862,Other,-22704.0,-8.208955223880597,-7.586206896551724,299280.0,348.0,480.0,-7.586206896551724
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,,,,chennai,210,Atliq_Curtains,150.0,12900,25050.0,Home Care,94.18604651162791,124.0,-18.06615776081425,12150.0,-38.54961832061068,81.0,27.0,288.3720930232558,Other,12150.0,48.50299401197605,94.18604651162791,12900.0,43.0,167.0,94.18604651162791
182caa,STCHE-5,CAMP_SAN_01,P06,415,25% OFF,39,33,,,,chennai,72,Atliq_Fusion_Container_Set_of_3,103.75,16185,10271.25,Home Care,-36.53846153846153,-6.0,-18.06615776081425,-5913.75,-38.54961832061068,-57.0,-13.734939759036145,-15.384615384615385,Other,-5913.75,-57.57575757575758,-36.53846153846153,16185.0,39.0,33.0,-36.53846153846153
c4db5b,STTRV-0,CAMP_DIW_01,P01,172,33% OFF,164,236,,,,trivandrum,400,Atliq_Masoor_Dal (1KG),56.760000000000005,28208,27196.64,Grocery & Staples,-3.5853658536585384,72.0,-18.06615776081425,-1011.3600000000006,-38.54961832061068,-17.818181818181827,-10.359408033826643,43.90243902439025,Other,-1011.3600000000006,-3.7186946622818136,-3.5853658536585384,28208.0,164.0,236.0,-3.5853658536585384
94f48c,STVSK-1,CAMP_SAN_01,P06,415,25% OFF,22,16,,,,visakhapatnam,38,Atliq_Fusion_Container_Set_of_3,103.75,9130,4980.0,Home Care,-45.45454545454545,-6.0,-18.06615776081425,-4150.0,-38.54961832061068,-40.0,-9.63855421686747,-27.27272727272727,Other,-4150.0,-83.33333333333334,-45.45454545454545,9130.0,22.0,16.0,-45.45454545454545
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,,,,hyderabad,268,Atliq_Curtains,150.0,16500,31950.0,Home Care,93.63636363636364,158.0,-18.06615776081425,15450.0,-38.54961832061068,103.0,34.333333333333336,287.27272727272725,Other,15450.0,48.35680751173709,93.63636363636364,16500.0,55.0,213.0,93.63636363636364
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,,,,bengaluru,210,Atliq_waterproof_Immersion_Rod,510.0,42840,85680.0,Home Appliances,100.0,126.0,-18.06615776081425,42840.0,-38.54961832061068,84.0,8.235294117647058,300.0,Other,42840.0,50.0,100.0,42840.0,42.0,168.0,100.0
1e9a06,STCHE-4,CAMP_DIW_01,P13,350,BOGOF,84,338,,,,chennai,422,Atliq_High_Glo_15W_LED_Bulb,175.0,29400,59150.0,Home Appliances,101.19047619047619,254.0,-18.06615776081425,29750.0,-38.54961832061068,170.0,48.57142857142857,302.38095238095235,Other,29750.0,50.29585798816568,101.19047619047619,29400.0,84.0,338.0,101.19047619047619
02ebe9,STBLR-8,CAMP_DIW_01,P11,190,50% OFF,66,88,,,,bengaluru,154,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,12540,8360.0,Personal Care,-33.33333333333333,22.0,-18.06615776081425,-4180.0,-38.54961832061068,-44.0,-23.157894736842106,33.33333333333333,Other,-4180.0,-50.0,-33.33333333333333,12540.0,66.0,88.0,-33.33333333333333
260ff2,STMYS-2,CAMP_SAN_01,P01,172,33% OFF,204,291,,,,mysuru,495,Atliq_Masoor_Dal (1KG),56.760000000000005,35088,33534.84,Grocery & Staples,-4.426470588235304,87.0,-18.06615776081425,-1553.1600000000035,-38.54961832061068,-27.363636363636424,-15.909090909090942,42.64705882352941,Other,-1553.1600000000035,-4.631481766425615,-4.426470588235304,35088.0,204.0,291.0,-4.426470588235304
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,,,,trivandrum,93,Atliq_Double_Bedsheet_set,595.0,22610,44030.0,Home Care,94.73684210526315,55.0,-18.06615776081425,21420.0,-38.54961832061068,36.0,3.0252100840336134,289.4736842105263,Other,21420.0,48.64864864864865,94.73684210526315,22610.0,19.0,74.0,94.73684210526315
b08c12,STMDU-3,CAMP_DIW_01,P03,156,25% OFF,227,202,,,,madurai,429,Atliq_Suflower_Oil (1L),39.0,35412,23634.0,Grocery & Staples,-33.259911894273124,-25.0,-18.06615776081425,-11778.0,-38.54961832061068,-302.0,-193.5897435897436,-11.013215859030836,Other,-11778.0,-49.834983498349835,-33.259911894273124,35412.0,227.0,202.0,-33.259911894273124
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,,,,coimbatore,313,Atliq_Home_Essential_8_Product_Combo,2500.0,255000,114000.0,Combo1,-55.294117647058826,143.0,-18.06615776081425,-141000.0,-38.54961832061068,-56.4,-1.88,168.23529411764707,Other,-141000.0,-123.6842105263158,-55.294117647058826,255000.0,85.0,228.0,-55.294117647058826
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,,,,mysuru,241,Atliq_waterproof_Immersion_Rod,510.0,60180,92820.0,Home Appliances,54.23728813559322,123.0,-18.06615776081425,32640.0,-38.54961832061068,64.0,6.2745098039215685,208.47457627118646,Other,32640.0,35.16483516483517,54.23728813559322,60180.0,59.0,182.0,54.23728813559322
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,,,,coimbatore,240,Atliq_High_Glo_15W_LED_Bulb,175.0,17500,33250.0,Home Appliances,90.0,140.0,-18.06615776081425,15750.0,-38.54961832061068,90.0,25.714285714285715,280.0,Other,15750.0,47.368421052631575,90.0,17500.0,50.0,190.0,90.0
def6ff,STMDU-0,CAMP_DIW_01,P11,190,50% OFF,70,89,,,,madurai,159,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,13300,8455.0,Personal Care,-36.42857142857142,19.0,-18.06615776081425,-4845.0,-38.54961832061068,-51.0,-26.842105263157894,27.142857142857142,Other,-4845.0,-57.30337078651685,-36.42857142857142,13300.0,70.0,89.0,-36.42857142857142
2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,33% OFF,333,402,,,,chennai,735,Atliq_Masoor_Dal (1KG),56.760000000000005,57276,46326.479999999996,Grocery & Staples,-19.117117117117125,69.0,-18.06615776081425,-10949.520000000004,-38.54961832061068,-192.90909090909096,-112.15644820295985,20.72072072072072,Other,-10949.520000000004,-23.635553575406558,-19.117117117117125,57276.0,333.0,402.0,-19.117117117117125
ca3893,STMYS-1,CAMP_SAN_01,P09,90,25% OFF,52,39,,,,mysuru,91,Atliq_Body_Milk_Nourishing_Lotion (120ML),22.5,4680,2632.5,Personal Care,-43.75,-13.0,-18.06615776081425,-2047.5,-38.54961832061068,-91.0,-101.11111111111111,-25.0,Other,-2047.5,-77.77777777777779,-43.75,4680.0,52.0,39.0,-43.75
922e6a,STBLR-8,CAMP_SAN_01,P05,55,25% OFF,34,24,,,,bengaluru,58,Atliq_Scrub_Sponge_For_Dishwash,13.75,1870,990.0,Home Care,-47.05882352941176,-10.0,-18.06615776081425,-880.0,-38.54961832061068,-64.0,-116.36363636363636,-29.411764705882355,Other,-880.0,-88.88888888888889,-47.05882352941176,1870.0,34.0,24.0,-47.05882352941176
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,,,,madurai,169,Atliq_Double_Bedsheet_set,595.0,39270,80920.0,Home Care,106.06060606060606,103.0,-18.06615776081425,41650.0,-38.54961832061068,70.0,5.882352941176471,312.1212121212121,Other,41650.0,51.470588235294116,106.06060606060606,39270.0,33.0,136.0,106.06060606060606
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,,,,vijayawada,136,Atliq_Double_Bedsheet_set,595.0,32130,64855.0,Home Care,101.85185185185186,82.0,-18.06615776081425,32725.0,-38.54961832061068,55.0,4.621848739495798,303.7037037037037,Other,32725.0,50.45871559633027,101.85185185185186,32130.0,27.0,109.0,101.85185185185186
df45ee,STHYD-3,CAMP_DIW_01,P01,172,33% OFF,309,534,,,,hyderabad,843,Atliq_Masoor_Dal (1KG),56.760000000000005,53148,61538.159999999996,Grocery & Staples,15.786407766990285,225.0,-18.06615776081425,8390.159999999996,-38.54961832061068,147.81818181818173,85.9408033826638,72.81553398058253,Other,8390.159999999996,13.634076806976351,15.786407766990285,53148.0,309.0,534.0,15.786407766990285
f3ac85,STBLR-5,CAMP_SAN_01,P03,200,BOGOF,348,1350,,,,bengaluru,1698,Atliq_Suflower_Oil (1L),100.0,69600,135000.0,Grocery & Staples,93.96551724137932,1002.0,-18.06615776081425,65400.0,-38.54961832061068,654.0,327.0,287.9310344827586,Other,65400.0,48.44444444444444,93.96551724137932,69600.0,348.0,1350.0,93.96551724137932
292ca5,STHYD-2,CAMP_DIW_01,P04,290,25% OFF,287,220,,,,hyderabad,507,Atliq_Farm_Chakki_Atta (1KG),72.5,83230,47850.0,Grocery & Staples,-42.508710801393725,-67.0,-18.06615776081425,-35380.0,-38.54961832061068,-488.0,-168.27586206896552,-23.34494773519164,Other,-35380.0,-73.93939393939394,-42.508710801393725,83230.0,287.0,220.0,-42.508710801393725
620715,STMYS-3,CAMP_SAN_01,P03,200,BOGOF,340,1485,,,,mysuru,1825,Atliq_Suflower_Oil (1L),100.0,68000,148500.0,Grocery & Staples,118.38235294117648,1145.0,-18.06615776081425,80500.0,-38.54961832061068,805.0,402.5,336.7647058823529,Other,80500.0,54.20875420875421,118.38235294117648,68000.0,340.0,1485.0,118.38235294117648
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,,,,vijayawada,106,Atliq_Double_Bedsheet_set,595.0,28560,48790.0,Home Care,70.83333333333334,58.0,-18.06615776081425,20230.0,-38.54961832061068,34.0,2.857142857142857,241.66666666666666,Other,20230.0,41.46341463414634,70.83333333333334,28560.0,24.0,82.0,70.83333333333334
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,,,,bengaluru,595,Atliq_waterproof_Immersion_Rod,510.0,123420,241740.0,Home Appliances,95.86776859504133,353.0,-18.06615776081425,118320.0,-38.54961832061068,232.0,22.745098039215687,291.73553719008265,Other,118320.0,48.9451476793249,95.86776859504133,123420.0,121.0,474.0,95.86776859504133
eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,500 Cashback,109,238,,,,visakhapatnam,347,Atliq_Home_Essential_8_Product_Combo,2500.0,327000,119000.0,Combo1,-63.608562691131496,129.0,-18.06615776081425,-208000.0,-38.54961832061068,-83.2,-2.7733333333333334,118.34862385321101,Other,-208000.0,-174.78991596638656,-63.608562691131496,327000.0,109.0,238.0,-63.608562691131496
276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,,,,coimbatore,161,Atliq_Curtains,150.0,9900,19200.0,Home Care,93.93939393939394,95.0,-18.06615776081425,9300.0,-38.54961832061068,62.0,20.666666666666668,287.8787878787879,Other,9300.0,48.4375,93.93939393939394,9900.0,33.0,128.0,93.93939393939394
3beb46,STMYS-2,CAMP_SAN_01,P13,350,BOGOF,81,208,,,,mysuru,289,Atliq_High_Glo_15W_LED_Bulb,175.0,28350,36400.0,Home Appliances,28.39506172839506,127.0,-18.06615776081425,8050.0,-38.54961832061068,46.0,13.142857142857142,156.79012345679013,Other,8050.0,22.115384615384613,28.39506172839506,28350.0,81.0,208.0,28.39506172839506
47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,,,,vijayawada,333,Atliq_Suflower_Oil (1L),39.0,28548,17550.0,Grocery & Staples,-38.52459016393443,-33.0,-18.06615776081425,-10998.0,-38.54961832061068,-282.0,-180.76923076923075,-18.0327868852459,Other,-10998.0,-62.66666666666667,-38.52459016393443,28548.0,183.0,150.0,-38.52459016393443
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,,,,coimbatore,147,Atliq_waterproof_Immersion_Rod,510.0,36720,56610.0,Home Appliances,54.166666666666664,75.0,-18.06615776081425,19890.0,-38.54961832061068,39.0,3.823529411764706,208.33333333333334,Other,19890.0,35.13513513513514,54.166666666666664,36720.0,36.0,111.0,54.166666666666664
bc8315,STHYD-1,CAMP_DIW_01,P12,62,50% OFF,122,135,,,,hyderabad,257,Atliq_Lime_Cool_Bathing_Bar (125GM),31.0,7564,4185.0,Personal Care,-44.67213114754098,13.0,-18.06615776081425,-3379.0,-38.54961832061068,-109.0,-175.80645161290323,10.655737704918032,Other,-3379.0,-80.74074074074075,-44.67213114754098,7564.0,122.0,135.0,-44.67213114754098
1f083a,STVJD-0,CAMP_SAN_01,P06,415,25% OFF,16,14,,,,vijayawada,30,Atliq_Fusion_Container_Set_of_3,103.75,6640,4357.5,Home Care,-34.375,-2.0,-18.06615776081425,-2282.5,-38.54961832061068,-22.0,-5.301204819277109,-12.5,Other,-2282.5,-52.38095238095239,-34.375,6640.0,16.0,14.0,-34.375
c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,33% OFF,273,379,,,,chennai,652,Atliq_Masoor_Dal (1KG),56.760000000000005,46956,43675.96,Grocery & Staples,-6.985347985347986,106.0,-18.06615776081425,-3280.040000000001,-38.54961832061068,-57.787878787878796,-33.59760394644116,38.82783882783883,Other,-3280.040000000001,-7.509943685267595,-6.985347985347986,46956.0,273.0,379.0,-6.985347985347986
f60d93,STCBE-0,CAMP_DIW_01,P05,55,25% OFF,78,75,,,,coimbatore,153,Atliq_Scrub_Sponge_For_Dishwash,13.75,4290,3093.75,Home Care,-27.884615384615387,-3.0,-18.06615776081425,-1196.25,-38.54961832061068,-87.0,-158.1818181818182,-3.8461538461538463,Other,-1196.25,-38.666666666666664,-27.884615384615387,4290.0,78.0,75.0,-27.884615384615387
a10402,STVSK-2,CAMP_SAN_01,P02,860,33% OFF,295,436,,,,visakhapatnam,731,Atliq_Sonamasuri_Rice (10KG),283.8,253700,251223.2,Grocery & Staples,-0.9762711864406735,141.0,-18.06615776081425,-2476.7999999999884,-38.54961832061068,-8.727272727272686,-1.0147991543340333,47.79661016949153,Other,-2476.7999999999884,-0.9858962070381987,-0.9762711864406735,253700.0,295.0,436.0,-0.9762711864406735
741bef,STMYS-0,CAMP_SAN_01,P13,350,BOGOF,114,287,,,,mysuru,401,Atliq_High_Glo_15W_LED_Bulb,175.0,39900,50225.0,Home Appliances,25.877192982456144,173.0,-18.06615776081425,10325.0,-38.54961832061068,59.0,16.857142857142858,151.75438596491227,Other,10325.0,20.557491289198605,25.877192982456144,39900.0,114.0,287.0,25.877192982456144
105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,,,,chennai,290,Atliq_Curtains,150.0,17400,34800.0,Home Care,100.0,174.0,-18.06615776081425,17400.0,-38.54961832061068,116.0,38.666666666666664,300.0,Other,17400.0,50.0,100.0,17400.0,58.0,232.0,100.0
a85a9a,STHYD-2,CAMP_SAN_01,P10,50,25% OFF,42,31,,,,hyderabad,73,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,2100,1162.5,Personal Care,-44.642857142857146,-11.0,-18.06615776081425,-937.5,-38.54961832061068,-75.0,-150.0,-26.190476190476193,Other,-937.5,-80.64516129032258,-44.642857142857146,2100.0,42.0,31.0,-44.642857142857146
4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,BOGOF,253,1017,,,,vijayawada,1270,Atliq_Farm_Chakki_Atta (1KG),185.0,93610,188145.0,Grocery & Staples,100.98814229249011,764.0,-18.06615776081425,94535.0,-38.54961832061068,511.0,138.1081081081081,301.97628458498025,Other,94535.0,50.24582104228122,100.98814229249011,93610.0,253.0,1017.0,100.98814229249011
830e9a,STCHE-1,CAMP_DIW_01,P01,172,33% OFF,325,396,,,,chennai,721,Atliq_Masoor_Dal (1KG),56.760000000000005,55900,45635.04,Grocery & Staples,-18.36307692307692,71.0,-18.06615776081425,-10264.96,-38.54961832061068,-180.84848484848482,-105.14446793516558,21.846153846153847,Other,-10264.96,-22.493592642846373,-18.36307692307692,55900.0,325.0,396.0,-18.36307692307692
29524a,STBLR-9,CAMP_SAN_01,P10,50,25% OFF,40,36,,,,bengaluru,76,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,2000,1350.0,Personal Care,-32.5,-4.0,-18.06615776081425,-650.0,-38.54961832061068,-52.0,-104.0,-10.0,Other,-650.0,-48.148148148148145,-32.5,2000.0,40.0,36.0,-32.5
3ce076,STMLR-1,CAMP_DIW_01,P11,190,50% OFF,38,50,,,,mangalore,88,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,7220,4750.0,Personal Care,-34.21052631578947,12.0,-18.06615776081425,-2470.0,-38.54961832061068,-26.0,-13.68421052631579,31.57894736842105,Other,-2470.0,-52.0,-34.21052631578947,7220.0,38.0,50.0,-34.21052631578947
32fa85,STCHE-3,CAMP_DIW_01,P05,55,25% OFF,106,92,,,,chennai,198,Atliq_Scrub_Sponge_For_Dishwash,13.75,5830,3795.0,Home Care,-34.90566037735849,-14.0,-18.06615776081425,-2035.0,-38.54961832061068,-148.0,-269.09090909090907,-13.20754716981132,Other,-2035.0,-53.62318840579711,-34.90566037735849,5830.0,106.0,92.0,-34.90566037735849
42f304,STCBE-3,CAMP_DIW_01,P06,415,25% OFF,66,57,,,,coimbatore,123,Atliq_Fusion_Container_Set_of_3,103.75,27390,17741.25,Home Care,-35.22727272727273,-9.0,-18.06615776081425,-9648.75,-38.54961832061068,-93.0,-22.40963855421687,-13.636363636363635,Other,-9648.75,-54.385964912280706,-35.22727272727273,27390.0,66.0,57.0,-35.22727272727273
a929ed,STHYD-5,CAMP_DIW_01,P03,156,25% OFF,358,347,,,,hyderabad,705,Atliq_Suflower_Oil (1L),39.0,55848,40599.0,Grocery & Staples,-27.304469273743017,-11.0,-18.06615776081425,-15249.0,-38.54961832061068,-391.0,-250.64102564102564,-3.072625698324022,Other,-15249.0,-37.56003842459174,-27.304469273743017,55848.0,358.0,347.0,-27.304469273743017
6dae49,STBLR-1,CAMP_DIW_01,P05,55,25% OFF,117,114,,,,bengaluru,231,Atliq_Scrub_Sponge_For_Dishwash,13.75,6435,4702.5,Home Care,-26.923076923076923,-3.0,-18.06615776081425,-1732.5,-38.54961832061068,-126.0,-229.0909090909091,-2.564102564102564,Other,-1732.5,-36.84210526315789,-26.923076923076923,6435.0,117.0,114.0,-26.923076923076923
3b54c7,STHYD-3,CAMP_DIW_01,P04,290,25% OFF,367,297,,,,hyderabad,664,Atliq_Farm_Chakki_Atta (1KG),72.5,106430,64597.5,Grocery & Staples,-39.305177111716624,-70.0,-18.06615776081425,-41832.5,-38.54961832061068,-577.0,-198.9655172413793,-19.07356948228883,Other,-41832.5,-64.75869809203144,-39.305177111716624,106430.0,367.0,297.0,-39.305177111716624
7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,25% OFF,166,146,,,,mangalore,312,Atliq_Suflower_Oil (1L),39.0,25896,17082.0,Grocery & Staples,-34.036144578313255,-20.0,-18.06615776081425,-8814.0,-38.54961832061068,-226.0,-144.87179487179486,-12.048192771084338,Other,-8814.0,-51.598173515981735,-34.036144578313255,25896.0,166.0,146.0,-34.036144578313255
c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,500 Cashback,369,1221,,,,madurai,1590,Atliq_Home_Essential_8_Product_Combo,2500.0,1107000,610500.0,Combo1,-44.85094850948509,852.0,-18.06615776081425,-496500.0,-38.54961832061068,-198.6,-6.62,230.89430894308944,Other,-496500.0,-81.32678132678133,-44.85094850948509,1107000.0,369.0,1221.0,-44.85094850948509
bd1314,STMYS-2,CAMP_SAN_01,P05,55,25% OFF,37,30,,,,mysuru,67,Atliq_Scrub_Sponge_For_Dishwash,13.75,2035,1237.5,Home Care,-39.189189189189186,-7.0,-18.06615776081425,-797.5,-38.54961832061068,-58.0,-105.45454545454545,-18.91891891891892,Other,-797.5,-64.44444444444444,-39.189189189189186,2035.0,37.0,30.0,-39.189189189189186
7634c0,STMLR-0,CAMP_SAN_01,P10,50,25% OFF,15,12,,,,mangalore,27,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,750,450.0,Personal Care,-40.0,-3.0,-18.06615776081425,-300.0,-38.54961832061068,-24.0,-48.0,-20.0,Other,-300.0,-66.66666666666666,-40.0,750.0,15.0,12.0,-40.0
d304f9,STCHE-5,CAMP_DIW_01,P04,290,25% OFF,309,268,,,,chennai,577,Atliq_Farm_Chakki_Atta (1KG),72.5,89610,58290.0,Grocery & Staples,-34.95145631067961,-41.0,-18.06615776081425,-31320.0,-38.54961832061068,-432.0,-148.9655172413793,-13.268608414239482,Other,-31320.0,-53.73134328358209,-34.95145631067961,89610.0,309.0,268.0,-34.95145631067961
34ac29,STMDU-0,CAMP_DIW_01,P06,415,25% OFF,73,64,,,,madurai,137,Atliq_Fusion_Container_Set_of_3,103.75,30295,19920.0,Home Care,-34.24657534246575,-9.0,-18.06615776081425,-10375.0,-38.54961832061068,-100.0,-24.096385542168676,-12.32876712328767,Other,-10375.0,-52.083333333333336,-34.24657534246575,30295.0,73.0,64.0,-34.24657534246575
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,,,,hyderabad,491,Atliq_waterproof_Immersion_Rod,510.0,102000,199410.0,Home Appliances,95.5,291.0,-18.06615776081425,97410.0,-38.54961832061068,191.0,18.725490196078432,291.0,Other,97410.0,48.84910485933504,95.5,102000.0,100.0,391.0,95.5
