event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Unnamed: 8,Unnamed: 9,Unnamed: 10,city,total_quantity_sold,product_name,promo_discount,revenue_before_promo,revenue_after_promo
830e9a,STCHE-1,CAMP_DIW_01,P01,172,33% OFF,325,396,,,,chennai,721,Atliq_Masoor_Dal (1KG),56.760000000000005,55900,45635.04
29524a,STBLR-9,CAMP_SAN_01,P10,50,25% OFF,40,36,,,,bengaluru,76,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,2000,1350.0
3ce076,STMLR-1,CAMP_DIW_01,P11,190,50% OFF,38,50,,,,mangalore,88,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,7220,4750.0
32fa85,STCHE-3,CAMP_DIW_01,P05,55,25% OFF,106,92,,,,chennai,198,Atliq_Scrub_Sponge_For_Dishwash,13.75,5830,3795.0
42f304,STCBE-3,CAMP_DIW_01,P06,415,25% OFF,66,57,,,,coimbatore,123,Atliq_Fusion_Container_Set_of_3,103.75,27390,17741.25
a929ed,STHYD-5,CAMP_DIW_01,P03,156,25% OFF,358,347,,,,hyderabad,705,Atliq_Suflower_Oil (1L),39.0,55848,40599.0
6dae49,STBLR-1,CAMP_DIW_01,P05,55,25% OFF,117,114,,,,bengaluru,231,Atliq_Scrub_Sponge_For_Dishwash,13.75,6435,4702.5
3b54c7,STHYD-3,CAMP_DIW_01,P04,290,25% OFF,367,297,,,,hyderabad,664,Atliq_Farm_Chakki_Atta (1KG),72.5,106430,64597.5
7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,25% OFF,166,146,,,,mangalore,312,Atliq_Suflower_Oil (1L),39.0,25896,17082.0
c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,500 Cashback,369,1221,,,,madurai,1590,Atliq_Home_Essential_8_Product_Combo,2500.0,1107000,610500.0
bd1314,STMYS-2,CAMP_SAN_01,P05,55,25% OFF,37,30,,,,mysuru,67,Atliq_Scrub_Sponge_For_Dishwash,13.75,2035,1237.5
7634c0,STMLR-0,CAMP_SAN_01,P10,50,25% OFF,15,12,,,,mangalore,27,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,750,450.0
d304f9,STCHE-5,CAMP_DIW_01,P04,290,25% OFF,309,268,,,,chennai,577,Atliq_Farm_Chakki_Atta (1KG),72.5,89610,58290.0
34ac29,STMDU-0,CAMP_DIW_01,P06,415,25% OFF,73,64,,,,madurai,137,Atliq_Fusion_Container_Set_of_3,103.75,30295,19920.0
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,,,,hyderabad,491,Atliq_waterproof_Immersion_Rod,510.0,102000,199410.0
70e65e,STCBE-0,CAMP_DIW_01,P15,3000,500 Cashback,320,937,,,,coimbatore,1257,Atliq_Home_Essential_8_Product_Combo,2500.0,960000,468500.0
cf2a34,STHYD-3,CAMP_DIW_01,P06,415,25% OFF,106,81,,,,hyderabad,187,Atliq_Fusion_Container_Set_of_3,103.75,43990,25211.25
1c1cb7,STHYD-5,CAMP_SAN_01,P10,50,25% OFF,39,35,,,,hyderabad,74,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,1950,1312.5
8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,25% OFF,112,88,,,,bengaluru,200,Atliq_Scrub_Sponge_For_Dishwash,13.75,6160,3630.0
ad56bd,STMLR-2,CAMP_DIW_01,P09,110,50% OFF,36,37,,,,mangalore,73,Atliq_Body_Milk_Nourishing_Lotion (120ML),55.0,3960,2035.0
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81,,,,visakhapatnam,111,Atliq_Double_Bedsheet_set,595.0,35700,48195.0
eaa64b,STBLR-3,CAMP_SAN_01,P09,90,25% OFF,58,43,,,,bengaluru,101,Atliq_Body_Milk_Nourishing_Lotion (120ML),22.5,5220,2902.5
9e82db,STMDU-1,CAMP_DIW_01,P05,55,25% OFF,92,79,,,,madurai,171,Atliq_Scrub_Sponge_For_Dishwash,13.75,5060,3258.75
d5b8af,STVJD-1,CAMP_SAN_01,P11,190,50% OFF,25,35,,,,vijayawada,60,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,4750,3325.0
6d24bc,STMDU-2,CAMP_DIW_01,P03,156,25% OFF,206,179,,,,madurai,385,Atliq_Suflower_Oil (1L),39.0,32136,20943.0
107747,STHYD-1,CAMP_SAN_01,P02,860,33% OFF,488,580,,,,hyderabad,1068,Atliq_Sonamasuri_Rice (10KG),283.8,419680,334196.0
04da18,STVSK-4,CAMP_SAN_01,P03,200,BOGOF,223,604,,,,visakhapatnam,827,Atliq_Suflower_Oil (1L),100.0,44600,60400.0
3a3e96,STBLR-6,CAMP_DIW_01,P07,300,BOGOF,68,263,,,,bengaluru,331,Atliq_Curtains,150.0,20400,39450.0
8f1624,STVJD-0,CAMP_DIW_01,P10,65,50% OFF,57,75,,,,vijayawada,132,Atliq_Cream_Beauty_Bathing_Soap (125GM),32.5,3705,2437.5
b8269b,STBLR-1,CAMP_DIW_01,P13,350,BOGOF,77,232,,,,bengaluru,309,Atliq_High_Glo_15W_LED_Bulb,175.0,26950,40600.0
c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,33% OFF,465,646,,,,hyderabad,1111,Atliq_Sonamasuri_Rice (10KG),283.8,399900,372225.2
987463,STBLR-0,CAMP_SAN_01,P07,300,BOGOF,45,185,,,,bengaluru,230,Atliq_Curtains,150.0,13500,27750.0
0b51fe,STHYD-3,CAMP_SAN_01,P10,50,25% OFF,39,29,,,,hyderabad,68,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,1950,1087.5
d1ceaf,STBLR-5,CAMP_SAN_01,P10,50,25% OFF,36,29,,,,bengaluru,65,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,1800,1087.5
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147,,,,mysuru,181,Atliq_Double_Bedsheet_set,595.0,40460,87465.0
1ed982,STCHE-6,CAMP_DIW_01,P13,350,BOGOF,75,252,,,,chennai,327,Atliq_High_Glo_15W_LED_Bulb,175.0,26250,44100.0
e9c690,STMDU-3,CAMP_SAN_01,P09,90,25% OFF,45,38,,,,madurai,83,Atliq_Body_Milk_Nourishing_Lotion (120ML),22.5,4050,2565.0
268ca2,STVJD-0,CAMP_SAN_01,P15,3000,500 Cashback,63,151,,,,vijayawada,214,Atliq_Home_Essential_8_Product_Combo,2500.0,189000,75500.0
a1624e,STHYD-1,CAMP_DIW_01,P02,860,33% OFF,351,449,,,,hyderabad,800,Atliq_Sonamasuri_Rice (10KG),283.8,301860,258713.80000000002
31b59d,STVSK-3,CAMP_SAN_01,P10,50,25% OFF,27,21,,,,visakhapatnam,48,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,1350,787.5
82454e,STMLR-1,CAMP_DIW_01,P05,55,25% OFF,54,48,,,,mangalore,102,Atliq_Scrub_Sponge_For_Dishwash,13.75,2970,1980.0
1548f8,STVSK-4,CAMP_SAN_01,P15,3000,500 Cashback,100,175,,,,visakhapatnam,275,Atliq_Home_Essential_8_Product_Combo,2500.0,300000,87500.0
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,BOGOF,423,1801,,,,chennai,2224,Atliq_Farm_Chakki_Atta (1KG),185.0,156510,333185.0
9e59d5,STVSK-1,CAMP_DIW_01,P05,55,25% OFF,64,49,,,,visakhapatnam,113,Atliq_Scrub_Sponge_For_Dishwash,13.75,3520,2021.25
873333,STMLR-0,CAMP_DIW_01,P15,3000,500 Cashback,196,509,,,,mangalore,705,Atliq_Home_Essential_8_Product_Combo,2500.0,588000,254500.0
8b751b,STMLR-0,CAMP_SAN_01,P05,55,25% OFF,15,12,,,,mangalore,27,Atliq_Scrub_Sponge_For_Dishwash,13.75,825,495.0
f856b9,STMLR-2,CAMP_SAN_01,P15,3000,500 Cashback,66,147,,,,mangalore,213,Atliq_Home_Essential_8_Product_Combo,2500.0,198000,73500.0
dcaa89,STHYD-6,CAMP_SAN_01,P13,350,BOGOF,100,403,,,,hyderabad,503,Atliq_High_Glo_15W_LED_Bulb,175.0,35000,70525.0
677e2c,STHYD-1,CAMP_SAN_01,P13,350,BOGOF,122,326,,,,hyderabad,448,Atliq_High_Glo_15W_LED_Bulb,175.0,42700,57050.0
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196,,,,chennai,247,Atliq_Double_Bedsheet_set,595.0,60690,116620.0
8ff468,STVJD-0,CAMP_SAN_01,P03,200,BOGOF,193,773,,,,vijayawada,966,Atliq_Suflower_Oil (1L),100.0,38600,77300.0
72f6b4,STTRV-0,CAMP_SAN_01,P02,860,33% OFF,241,344,,,,trivandrum,585,Atliq_Sonamasuri_Rice (10KG),283.8,207260,198212.80000000002
300664,STHYD-5,CAMP_DIW_01,P13,350,BOGOF,80,276,,,,hyderabad,356,Atliq_High_Glo_15W_LED_Bulb,175.0,28000,48300.0
7ecbbb,STHYD-1,CAMP_DIW_01,P06,415,25% OFF,103,88,,,,hyderabad,191,Atliq_Fusion_Container_Set_of_3,103.75,42745,27390.0
2dc515,STMYS-3,CAMP_SAN_01,P01,172,33% OFF,232,294,,,,mysuru,526,Atliq_Masoor_Dal (1KG),56.760000000000005,39904,33880.56
a4fb0b,STMDU-0,CAMP_SAN_01,P02,860,33% OFF,318,448,,,,madurai,766,Atliq_Sonamasuri_Rice (10KG),283.8,273480,258137.60000000003
f2d198,STTRV-1,CAMP_DIW_01,P03,156,25% OFF,166,157,,,,trivandrum,323,Atliq_Suflower_Oil (1L),39.0,25896,18369.0
df5c15,STBLR-5,CAMP_DIW_01,P06,415,25% OFF,101,90,,,,bengaluru,191,Atliq_Fusion_Container_Set_of_3,103.75,41915,28012.5
4e6a19,STHYD-3,CAMP_SAN_01,P07,300,BOGOF,45,121,,,,hyderabad,166,Atliq_Curtains,150.0,13500,18150.0
6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118,,,,madurai,148,Atliq_Double_Bedsheet_set,595.0,35700,70210.0
852b4f,STHYD-5,CAMP_SAN_01,P12,62,50% OFF,49,70,,,,hyderabad,119,Atliq_Lime_Cool_Bathing_Bar (125GM),31.0,3038,2170.0
26322a,STMLR-0,CAMP_DIW_01,P10,65,50% OFF,52,71,,,,mangalore,123,Atliq_Cream_Beauty_Bathing_Soap (125GM),32.5,3380,2307.5
57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194,,,,bengaluru,243,Atliq_Double_Bedsheet_set,595.0,58310,115430.0
af646e,STHYD-4,CAMP_SAN_01,P11,190,50% OFF,54,78,,,,hyderabad,132,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,10260,7410.0
ccbc3a,STTRV-0,CAMP_DIW_01,P06,415,25% OFF,52,49,,,,trivandrum,101,Atliq_Fusion_Container_Set_of_3,103.75,21580,15251.25
572031,STBLR-6,CAMP_SAN_01,P03,200,BOGOF,423,1734,,,,bengaluru,2157,Atliq_Suflower_Oil (1L),100.0,84600,173400.0
5a21a5,STBLR-4,CAMP_SAN_01,P10,50,25% OFF,31,26,,,,bengaluru,57,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,1550,975.0
c6bf42,STCBE-3,CAMP_DIW_01,P07,300,BOGOF,52,173,,,,coimbatore,225,Atliq_Curtains,150.0,15600,25950.0
f5ff07,STCHE-6,CAMP_DIW_01,P11,190,50% OFF,80,100,,,,chennai,180,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,15200,9500.0
2c8137,STVSK-3,CAMP_SAN_01,P07,300,BOGOF,31,77,,,,visakhapatnam,108,Atliq_Curtains,150.0,9300,11550.0
4e3a3d,STVJD-0,CAMP_DIW_01,P02,860,33% OFF,197,285,,,,vijayawada,482,Atliq_Sonamasuri_Rice (10KG),283.8,169420,164217.0
582098,STMYS-1,CAMP_SAN_01,P14,1020,BOGOF,109,453,,,,mysuru,562,Atliq_waterproof_Immersion_Rod,510.0,111180,231030.0
9387d1,STHYD-6,CAMP_DIW_01,P02,860,33% OFF,329,470,,,,hyderabad,799,Atliq_Sonamasuri_Rice (10KG),283.8,282940,270814.0
6c9451,STVSK-0,CAMP_DIW_01,P03,156,25% OFF,259,225,,,,visakhapatnam,484,Atliq_Suflower_Oil (1L),39.0,40404,26325.0
9c74f7,STBLR-9,CAMP_DIW_01,P09,110,50% OFF,71,90,,,,bengaluru,161,Atliq_Body_Milk_Nourishing_Lotion (120ML),55.0,7810,4950.0
c3bbcc,STBLR-2,CAMP_SAN_01,P07,300,BOGOF,31,122,,,,bengaluru,153,Atliq_Curtains,150.0,9300,18300.0
00a25a,STCHE-3,CAMP_SAN_01,P12,62,50% OFF,64,89,,,,chennai,153,Atliq_Lime_Cool_Bathing_Bar (125GM),31.0,3968,2759.0
7b0f7d,STVJD-1,CAMP_DIW_01,P01,172,33% OFF,180,255,,,,vijayawada,435,Atliq_Masoor_Dal (1KG),56.760000000000005,30960,29386.199999999997
b484bd,STTRV-1,CAMP_DIW_01,P06,415,25% OFF,36,34,,,,trivandrum,70,Atliq_Fusion_Container_Set_of_3,103.75,14940,10582.5
3aaafb,STMDU-2,CAMP_DIW_01,P06,415,25% OFF,50,43,,,,madurai,93,Atliq_Fusion_Container_Set_of_3,103.75,20750,13383.75
20d916,STCBE-1,CAMP_DIW_01,P07,300,BOGOF,57,188,,,,coimbatore,245,Atliq_Curtains,150.0,17100,28200.0
eccfbe,STCHE-1,CAMP_DIW_01,P02,860,33% OFF,364,451,,,,chennai,815,Atliq_Sonamasuri_Rice (10KG),283.8,313040,259866.2
71a7a0,STCHE-6,CAMP_DIW_01,P14,1020,BOGOF,59,195,,,,chennai,254,Atliq_waterproof_Immersion_Rod,510.0,60180,99450.0
fd2628,STBLR-8,CAMP_DIW_01,P15,3000,500 Cashback,437,1306,,,,bengaluru,1743,Atliq_Home_Essential_8_Product_Combo,2500.0,1311000,653000.0
7b187a,STVSK-1,CAMP_SAN_01,P14,1020,BOGOF,82,322,,,,visakhapatnam,404,Atliq_waterproof_Immersion_Rod,510.0,83640,164220.0
345b49,STMDU-2,CAMP_SAN_01,P14,1020,BOGOF,76,300,,,,madurai,376,Atliq_waterproof_Immersion_Rod,510.0,77520,153000.0
1c4a78,STMLR-2,CAMP_SAN_01,P12,62,50% OFF,27,31,,,,mangalore,58,Atliq_Lime_Cool_Bathing_Bar (125GM),31.0,1674,961.0
70c312,STHYD-4,CAMP_SAN_01,P13,350,BOGOF,135,534,,,,hyderabad,669,Atliq_High_Glo_15W_LED_Bulb,175.0,47250,93450.0
1ee94b,STHYD-0,CAMP_DIW_01,P13,350,BOGOF,68,235,,,,hyderabad,303,Atliq_High_Glo_15W_LED_Bulb,175.0,23800,41125.0
c381ea,STMLR-1,CAMP_SAN_01,P08,1190,BOGOF,27,106,,,,mangalore,133,Atliq_Double_Bedsheet_set,595.0,32130,63070.0
8724c8,STCBE-4,CAMP_SAN_01,P04,370,BOGOF,363,990,,,,coimbatore,1353,Atliq_Farm_Chakki_Atta (1KG),185.0,134310,183150.0
8f3699,STVSK-3,CAMP_DIW_01,P03,156,25% OFF,196,174,,,,visakhapatnam,370,Atliq_Suflower_Oil (1L),39.0,30576,20358.0
bfb2b4,STBLR-7,CAMP_SAN_01,P13,350,BOGOF,133,559,,,,bengaluru,692,Atliq_High_Glo_15W_LED_Bulb,175.0,46550,97825.0
19e2f0,STCHE-7,CAMP_SAN_01,P11,190,50% OFF,58,81,,,,chennai,139,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,11020,7695.0
a0d919,STMDU-1,CAMP_DIW_01,P08,1190,BOGOF,35,122,,,,madurai,157,Atliq_Double_Bedsheet_set,595.0,41650,72590.0
98c85b,STMLR-2,CAMP_DIW_01,P13,350,BOGOF,38,133,,,,mangalore,171,Atliq_High_Glo_15W_LED_Bulb,175.0,13300,23275.0
d60641,STHYD-0,CAMP_DIW_01,P03,156,25% OFF,351,305,,,,hyderabad,656,Atliq_Suflower_Oil (1L),39.0,54756,35685.0
a340fc,STBLR-4,CAMP_DIW_01,P05,55,25% OFF,136,121,,,,bengaluru,257,Atliq_Scrub_Sponge_For_Dishwash,13.75,7480,4991.25
4dca21,STVSK-1,CAMP_SAN_01,P04,370,BOGOF,252,985,,,,visakhapatnam,1237,Atliq_Farm_Chakki_Atta (1KG),185.0,93240,182225.0
ff18f2,STVSK-3,CAMP_DIW_01,P15,3000,500 Cashback,260,681,,,,visakhapatnam,941,Atliq_Home_Essential_8_Product_Combo,2500.0,780000,340500.0
b79fd9,STVJD-1,CAMP_DIW_01,P04,290,25% OFF,150,123,,,,vijayawada,273,Atliq_Farm_Chakki_Atta (1KG),72.5,43500,26752.5
c23e33,STHYD-6,CAMP_SAN_01,P11,190,50% OFF,49,69,,,,hyderabad,118,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,9310,6555.0
cf734f,STHYD-4,CAMP_SAN_01,P08,1190,BOGOF,51,203,,,,hyderabad,254,Atliq_Double_Bedsheet_set,595.0,60690,120785.0
0951b6,STMYS-1,CAMP_DIW_01,P09,110,50% OFF,103,159,,,,mysuru,262,Atliq_Body_Milk_Nourishing_Lotion (120ML),55.0,11330,8745.0
413f48,STVSK-0,CAMP_SAN_01,P14,1020,BOGOF,61,234,,,,visakhapatnam,295,Atliq_waterproof_Immersion_Rod,510.0,62220,119340.0
de1ced,STCHE-3,CAMP_DIW_01,P03,156,25% OFF,330,290,,,,chennai,620,Atliq_Suflower_Oil (1L),39.0,51480,33930.0
291ddf,STCBE-1,CAMP_SAN_01,P03,200,BOGOF,267,1054,,,,coimbatore,1321,Atliq_Suflower_Oil (1L),100.0,53400,105400.0
aa1bbd,STCBE-0,CAMP_SAN_01,P10,50,25% OFF,25,22,,,,coimbatore,47,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,1250,825.0
53a947,STBLR-1,CAMP_SAN_01,P06,415,25% OFF,39,36,,,,bengaluru,75,Atliq_Fusion_Container_Set_of_3,103.75,16185,11205.0
b8f698,STMDU-3,CAMP_DIW_01,P10,65,50% OFF,68,76,,,,madurai,144,Atliq_Cream_Beauty_Bathing_Soap (125GM),32.5,4420,2470.0
13ad42,STMDU-0,CAMP_DIW_01,P03,156,25% OFF,241,209,,,,madurai,450,Atliq_Suflower_Oil (1L),39.0,37596,24453.0
93e61f,STBLR-4,CAMP_DIW_01,P10,65,50% OFF,92,120,,,,bengaluru,212,Atliq_Cream_Beauty_Bathing_Soap (125GM),32.5,5980,3900.0
